Level,Period,Duration_seconds,Duration_days,Duration_months,Duration_years
4,Saturn -> Antardasha -> Rahu -> Duration_months,,,34.197191195795,
4,Saturn -> Antardasha -> Rahu -> Duration_years,,,,2.85
4,Saturn -> Antardasha -> Jupiter -> Duration_seconds,79945920.0,,,
4,Saturn -> Antardasha -> Jupiter -> Duration_days,,925.3,,
4,Saturn -> Antardasha -> Jupiter -> Duration_months,,,30.39750328515111,
4,Saturn -> Antardasha -> Jupiter -> Duration_years,,,,2.533333333333333
4,Saturn -> Antardasha -> Saturn -> Duration_seconds,94935780.0,,,
4,Saturn -> Antardasha -> Saturn -> Duration_days,,1098.79375,,
4,Saturn -> Antardasha -> Saturn -> Duration_months,,,36.09703515111695,
4,Saturn -> Antardasha -> Saturn -> Duration_years,,,,3.0083333333333333
4,Saturn -> Antardasha -> Mercury -> Duration_seconds,84942540.0,,,
4,Saturn -> Antardasha -> Mercury -> Duration_days,,983.13125,,
4,Saturn -> Antardasha -> Mercury -> Duration_months,,,32.29734724047306,
4,Saturn -> Antardasha -> Mercury -> Duration_years,,,,2.691666666666667
2,Mercury -> Mahadasha_duration_seconds,536479200.0,,,
2,Mercury -> Mahadasha_duration_days,,6209.25,,
2,Mercury -> Mahadasha_duration_months,,,203.98324572930352,
2,Mercury -> Mahadasha_duration_years,,,,17.0
4,Mercury -> Antardasha -> Ketu -> Duration_seconds,31294620.0,,,
4,Mercury -> Antardasha -> Ketu -> Duration_days,,362.20625,,
4,Mercury -> Antardasha -> Ketu -> Duration_months,,,11.899022667542704,
4,Mercury -> Antardasha -> Ketu -> Duration_years,,,,0.9916666666666667
4,Mercury -> Antardasha -> Venus -> Duration_seconds,89413200.0,,,
4,Mercury -> Antardasha -> Venus -> Duration_days,,1034.875,,
4,Mercury -> Antardasha -> Venus -> Duration_months,,,33.99720762155059,
4,Mercury -> Antardasha -> Venus -> Duration_years,,,,2.8333333333333335
4,Mercury -> Antardasha -> Sun -> Duration_seconds,26823960.0,,,
4,Mercury -> Antardasha -> Sun -> Duration_days,,310.4625,,
4,Mercury -> Antardasha -> Sun -> Duration_months,,,10.199162286465176,
4,Mercury -> Antardasha -> Sun -> Duration_years,,,,0.85
4,Mercury -> Antardasha -> Moon -> Duration_seconds,44706600.0,,,
4,Mercury -> Antardasha -> Moon -> Duration_days,,517.4375,,
4,Mercury -> Antardasha -> Moon -> Duration_months,,,16.998603810775293,
4,Mercury -> Antardasha -> Moon -> Duration_years,,,,1.4166666666666667
4,Mercury -> Antardasha -> Mars -> Duration_seconds,31294620.0,,,
4,Mercury -> Antardasha -> Mars -> Duration_days,,362.20625,,
4,Mercury -> Antardasha -> Mars -> Duration_months,,,11.899022667542704,
4,Mercury -> Antardasha -> Mars -> Duration_years,,,,0.9916666666666667
4,Mercury -> Antardasha -> Rahu -> Duration_seconds,80471880.0,,,
